bioc_version,bioc_version_explicit,r_version,rtools
1.6,1.6,2.1,35
1.7,1.7,2.2,35
1.8,1.8,2.3,35
1.9,1.9,2.4,35
2.0,2.0,2.5,35
2.1,2.1,2.6,35
2.2,2.2,2.7,35
2.3,2.3,2.8,35
2.4,2.4,2.9,35
2.5,2.5,2.10,35
2.6,2.6,2.11,35
2.7,2.7,2.12,35
2.8,2.8,2.13,35
2.9,2.9,2.14,35
2.10,2.10,2.15,35
2.11,2.11,2.15,35
2.12,2.12,3.0,35
2.13,2.13,3.0,35
2.14,2.14,3.1,35
3.0,3.0,3.1,35
3.1,3.1,3.2,35
3.2,3.2,3.2,35
3.3,3.3,3.3,35
3.4,3.4,3.3,35
3.5,3.5,3.4,35
3.6,3.6,3.4,35
3.7,3.7,3.5,35
3.8,3.8,3.5,35
3.9,3.9,3.6,35
3.10,3.10,3.6,35
3.11,3.11,4.0,40
3.12,3.12,4.0,40
3.13,3.13,4.1,40
3.14,3.14,4.1,40
3.15,3.15,4.2,42
3.16,3.16,4.2,42
3.17,3.17,4.3,43
3.18,3.18,4.3,43
3.19,3.19,devel,44
release,3.18,4.3,43
devel,3.19,devel,44
